// FILENAME 8BusTestCase_8gen.dat
//
// UNIT	SI
// SI (International System of Units) such as MW
//
// Case Data File Format 2.0
//
// NN: Number of Buses
//
// PenaltyWeight: Penalty weight for DC-OPF objective function
//
// MaxCap: Thermal limits
//
// X: Reactance
//
// FCost,a,b: GenCo's cost attributes
//
// capL,capU: GenCo's operating capacity limits
//
//
//

// UNIT	SI
BASE_S	100
BASE_V	10

// Simulation Parameters
Max_Day  	2
Random_Seed 695672061
Threshold_Probability 0.999

#ZoneNamesStart
1
2
3
4
5
6
7
8
#ZoneNamesEnd

#NodeDataStart
//      NN	  PenaltyWeight
         8	         0.0500
#NodeDataEnd

#BranchDataStart
//    Name	      From	        To	         MaxCap	      Reactance
   Branch1	         1	         2	     10000.0000	         0.1000
   Branch2	         2	         3	     10000.0000	         0.1000
   Branch3	         2	         4	     10000.0000	         0.1000
   Branch4	         2	         5	     10000.0000	         0.1000
   Branch5	         4	         5	     10000.0000	         0.1000
   Branch6	         5	         6	     10000.0000	         0.1000
   Branch7	         5	         7	     10000.0000	         0.1000
   Branch8	         4	         6	     10000.0000	         0.1000
   Branch9	         6	         8	     10000.0000	         0.1000
  Branch10	         6	         7	     10000.0000	         0.1000
  Branch11	         4	         8	     10000.0000	         0.1000
  Branch12	         3	         4	     10000.0000	         0.1000
#BranchDataEnd

#GenDataStart
//    Name	        ID	     atBus	          FCost	              a	              b	           capL	           capU	      InitMoney
    GenCo1	         1	         1	         0.0000	        10.0000	         0.0010	         0.0000	      500.0000	   1000000.0000
    GenCo2	         2	         2	         0.0000	        10.0000	         0.0010	         0.0000	      1000.0000	   1000000.0000
    GenCo3	         3	         3	         0.0000	        11.0000	         0.0010	         0.0000	      1000.0000	   1000000.0000
    GenCo4	         4	         4	         0.0000	        11.0000	         0.0006	         0.0000	      1000.0000	   1000000.0000
    GenCo5	         5	         5	         0.0000	        11.0000	         0.0020	         0.0000	      1000.0000	   1000000.0000
    GenCo6	         6	         6	         0.0000	        11.0000	         0.0020	         0.0000	      1000.0000	   1000000.0000
    GenCo7	         7	         7	         0.0000	        15.0000	         0.0030	         0.0000	      1000.0000	   1000000.0000
    GenCo8	         8	         8	         0.0000	        15.0000	         0.0010	         0.0000	      1000.0000	   1000000.0000
#GenDataEnd

#GenCostStart
//  Name    NoLoadCost    ColdStartUpCost    HotStartUpCost    ShutDownCostCoefficient
    GenCo1  0.0000    0           0           0
    GenCo2  0.0000    0           0           0
    GenCo3  20.0000    0           0           0
    GenCo4  100.0000    0           0           0
    GenCo5  100.0000    0           0           0
    GenCo6  200.0000    0           0           0
    GenCo7  500.0000    0           0           0
    GenCo8  1000.0000    0           0           0
#GenCostEnd

#ScucInputDataStart
//  Name    PowerT0 UnitOnT0State    MinUpTime   MinDownTime NominalRampUp   NominalRampDown StartupRampLim ShutdownRampLim  Schedule    Schedule2
    GenCo1  0.0000    -1           0           0           0             0             0             0             1           1
    GenCo2  0.0000    -1           0           0           0             0             0             0             1           1
    GenCo3  0.0000    -1           0           0           0             0             0             0             1           1
    GenCo4  0.0000    -1           0           0           0             0             0             0             1           1
    GenCo5  0.0000    -1           0           0           0             0             0             0             1           1
    GenCo6  0.0000    -1           0           0           0             0             0             0             1           1
    GenCo7  0.0000    -1           0           0           0             0             0             0             1           1
    GenCo8  1000.0    1           0           0           0             0             0             0             1           1
#ScucInputDataEnd

#LSEDataFixedDemandStart
//    Name	        ID	     atBus	           H-00	           H-01	           H-02	           H-03	           H-04	           H-05	           H-06	           H-07
      LSE1	         1	         1	     50	      50	      100	      200	      200	      300	      400	     500
      LSE2	         2	         2	     50	      50	      100	      200	      200	      300	      400	     500
      LSE3	         3	         3	     50	      50	      100	      200	      200	      300	      400	     500
      LSE4	         4	         4	     50	      50	      100	      200	      200	      300	      400	     500
      LSE5	         5	         5	     50	      100	      100	      200	      200	      300	      400	     500
      LSE6	         6	         6	     50	      100	      100	      200	      200	      300	      400	     500
      LSE7	         7	         7	     50	      100	      100	      200	      300	      300	      400	     500
      LSE8	         8	         8	     50	      100	      100	      200	      300	      400	      400	     500
//    Name	        ID	     atBus	           H-08	           H-09	           H-10	           H-11	           H-12	           H-13	           H-14	           H-15
      LSE1	         1	         1	     600	      700	      700	      700	      700	      700	      800	     800
      LSE2	         2	         2	     600	      700	      700	      700	      700	      700	      800	     800
      LSE3	         3	         3	     600	      700	      700	      700	      700	      700	      800	     800
      LSE4	         4	         4	     600	      700	      700	      700	      700	      700	      800	     800
      LSE5	         5	         5	     600	      700	      700	      700	      700	      800	      800	     800
      LSE6	         6	         6	     600	      700	      700	      700	      800	      800	      800	     800
      LSE7	         7	         7	     600	      700	      700	      800	      800	      800	      800	     900
      LSE8	         8	         8	     600	      700	      800	      800	      800	      800	      900	     900
//    Name	        ID	     atBus	           H-16	           H-17	           H-18	           H-19	           H-20	           H-21	           H-22	           H-23
      LSE1	         1	         1	     400	      400	      400	      400	      400	      400	      400	     400
      LSE2	         2	         2	     400	      400	      400	      400	      400	      400	      400	     400
      LSE3	         3	         3	     400	      400	      400	      400	      400	      400	      400	     400
      LSE4	         4	         4	     400	      400	      400	      400	      400	      400	      400	     400
      LSE5	         5	         5	     400	      400	      400	      400	      400	      400	      400	     400
      LSE6	         6	         6	     400	      400	      400	      400	      400	      400	      400	     400
      LSE7	         7	         7	     400	      400	      400	      400	      400	      400	      400	     400
      LSE8	         8	         8	     400	      400	      400	      400	      400	      400	      400	     400
#LSEDataFixedDemandEnd

#LSEDataPriceSensitiveDemandStart
//    Name	        ID	     atBus	 hourIndex	              c	              d	          SLMax
      LSE1	         1	         2	         0	        45.5000	         0.1000	        45.0000
      LSE1	         1	         2	         1	        43.9500	         0.1000	        42.2900
